Year,Month,ISO_A3_EH,FPV_MWh,GPV_MWh
2024,4,AUS,447646.6518764407,445337.2406409499
2024,4,AUT,522659.3452990333,508194.6102549584
2024,4,AZE,1129946.5099551645,1065685.0924404403
2024,4,BDI,1111062.5202220136,1101187.6947353545
2024,4,BEL,5621.936747378217,5549.984337433367
2024,4,BEN,226494.3590438541,217845.74784215496
2024,4,BFA,45501.76393989641,42823.96521889878
2024,4,BGD,648608.3481510916,616285.6563734423
2024,4,BGR,387807.1175157581,370118.3301978541
2024,4,BLR,53461.71033875332,52604.2369068999
2024,4,BOL,1265236.1304562676,1243766.012246017
2024,4,BRA,8675135.124546772,8481386.855110798
2024,4,CAN,13414562.0284448,13006818.974288804
2024,4,CHE,4301056.433868165,4202467.024083152
2024,4,CHN,30889307.686577708,29558663.471039243
2024,4,CIV,53529.0632016758,51477.83334829297
2024,4,COD,1275922.5927423215,1265874.348297555
2024,4,COG,48433.97512680384,47046.04945115524
2024,4,COL,998193.521351372,971416.9828232424
2024,4,CUB,103558.28273345056,101221.435614705
2024,4,CZE,111312.39908535256,108019.1961503123
2024,4,DEU,2116637.438997717,2071601.1800404
2024,4,DNK,355370.5807609681,346697.6333209893
2024,4,DOM,152940.58686719878,150705.93307720622
2024,4,DZA,94161.35449557236,91413.39372810182
2024,4,ECU,95362.82466764616,95191.5095238858
2024,4,EGY,2263756.4725622246,2160792.6998933884
2024,4,ESP,347748.6225917378,339247.3794059778
2024,4,EST,59695.33230884351,58654.736386291406
2024,4,ETH,1001348.1717691316,981170.5671707656
2024,4,FIN,742406.1040377665,718417.9166623323
2024,4,FRA,1572296.1308793237,1528991.7555782264
2024,4,GBR,572657.2941534271,559757.9167333003
2024,4,GEO,51303.85570939685,49087.1112319074
2024,4,GHA,59686.41094003296,57421.61804672585
2024,4,GRC,206945.1528306628,199570.64365160733
2024,4,GTM,590936.9071212284,572124.7780306408
2024,4,HKG,31674.957026057647,30660.349898462388
2024,4,HND,3471.963805300676,3401.236620020069
2024,4,HRV,34388.33059732588,32844.143297330265
2024,4,HTI,52806.76999671676,51597.74631882685
2024,4,HUN,634205.3829081049,608545.0071022841
2024,4,IDN,1210238.5327387014,1189718.973767611
2024,4,IND,13257342.82260749,12562666.896871813
2024,4,IRL,472524.33146035456,462224.096344977
2024,4,IRN,1117945.4818660866,1052831.844864101
2024,4,IRQ,2592835.403238905,2450631.786269328
2024,4,ISR,674206.446615247,656708.3574161021
2024,4,ITA,3723540.327938959,3650767.541734867
2024,4,JOR,1121126.2285535242,1091788.55829836
2024,4,JPN,2322447.794353038,2222084.1792644304
2024,4,KAZ,13194.93610063791,12921.326736321444
2024,4,KEN,1260634.8944616662,1239012.9685582097
2024,4,KGZ,450901.9267667416,445528.6026968062
2024,4,KHM,1211982.815786597,1144541.1466650297
2024,4,KOR,293114.3448011638,281365.9589196485
2024,4,LAO,7522.934031984832,7103.1290720237175
2024,4,LBN,20534.993358275657,19744.12191380775
2024,4,LKA,984600.9846675016,960913.3539025187
2024,4,LTU,177990.86530192813,176242.04312954412
2024,4,LVA,218020.44650100445,215647.14175510345
2024,4,MAR,327061.1272464171,314824.1817771451
2024,4,MDA,70582.7567065815,67524.08878459389
2024,4,MDG,27815.635394176094,27238.29850034325
2024,4,MEX,5855148.660352141,5628557.171920993
2024,4,MKD,155089.27506241068,148764.47560554484
2024,4,MLI,514044.0227936797,481063.5652528553
2024,4,MMR,75987.61606767333,72532.63957617486
2024,4,MNE,377594.1122940288,368162.8547484662
2024,4,MOZ,828445.203027175,821568.4822018909
2024,4,MWI,982540.5431266116,972322.2161292376
2024,4,NGA,1139380.419050956,1080457.4218231228
2024,4,NIC,795315.7836278862,764621.4495164212
2024,4,NLD,930612.125374697,910586.31607783
2024,4,NOR,334349.30676095164,325144.6438254121
2024,4,NPL,161256.44005146608,151842.13286858643
2024,4,NZL,227520.82037262275,227722.19156289875
2024,4,PAK,1840810.611544678,1767261.4872841423
2024,4,PAN,58785.193430732186,57609.17846861264
2024,4,PER,1106446.2944009583,1085519.9027291203
2024,4,PHL,2840176.779696206,2736511.889180471
2024,4,POL,1347325.1437777835,1328592.05501515
2024,4,PRI,14749.822319717405,14516.890731771578
2024,4,PRK,249011.05285242392,238270.74105429303
2024,4,PRT,64962.96965364928,62600.84289512485
2024,4,PRY,563899.0892988617,545430.1517810591
2024,4,PSE,1127425.6877522296,1097735.0818006564
2024,4,ROU,799747.7461431678,764136.059626255
2024,4,RUS,14302561.625321928,13721945.719802087
2024,4,RWA,1461289.963057834,1449902.0304077936
2024,4,SAU,126708.7773042152,120685.5242093644
2024,4,SDN,225654.9720095,207782.0572597046
2024,4,SEN,11139.701663329244,10616.279043209068
2024,4,SLV,287267.92958491744,275907.52556275687
2024,4,SRB,204926.997926038,194029.86267661623
2024,4,SVK,254766.9804473632,244596.3123087393
2024,4,SVN,19328.63133062427,18515.305909747865
2024,4,SWE,2235805.4037579247,2187039.4939125488
2024,4,SWZ,11186.823673386689,11027.118720686392
2024,4,SYR,1332797.6096140244,1260383.6613563616
2024,4,TGO,117579.2421968666,112888.39072992634
2024,4,THA,44655.84380582485,42654.16032915357
2024,4,TJK,468850.8276561093,461337.153845887
2024,4,TKM,20484.001573517027,20001.181180022748
2024,4,TUN,462478.3094827664,450818.2998968207
2024,4,TUR,1386308.5935601946,1329091.3427511298
2024,4,TWN,10172.489362887882,9878.925291333991
2024,4,TZA,1862973.504217088,1833843.620553461
2024,4,UGA,2014016.22739596,1965953.8584612296
2024,4,UKR,3500363.532925659,3317227.27817306
2024,4,URY,24519.391130956275,24228.200094688764
2024,4,USA,30149355.915443044,29256403.464066003
2024,4,UZB,80268.92797427776,78437.67617021437
2024,4,VEN,1083535.8022767026,1043755.848714459
2024,4,VNM,1448406.8469259448,1379649.6674384514
2024,4,YEM,16994.55116796785,16186.138644297984
2024,4,ZAF,859179.3577081911,848173.7937470905
2024,4,ZMB,179038.03814851597,176313.65239863054
2024,4,ZWE,380585.4789033148,373536.4473804071
2024,5,AGO,56488.88988969036,54961.243318536646
2024,5,ALB,727073.4601926437,715016.898331921
2024,5,ARG,63022.76214641094,63293.517764289456
2024,5,ARM,378006.35212439,368372.5200401133
2024,5,AUS,320324.1026642188,317357.3237542973
2024,5,AUT,534005.6366442206,517702.4676539759
2024,5,AZE,1048240.4764160723,1017409.094630208
2024,5,BDI,1290546.710700546,1269497.9879590007
2024,5,BEL,6586.065009577693,6412.26827623186
2024,5,BEN,212873.5958723757,205955.35310051608
2024,5,BFA,47482.515386784304,45025.61218571814
2024,5,BGD,543146.7569337984,524690.9157324451
2024,5,BGR,419064.8577914346,410281.4658044243
2024,5,BLR,98176.27458245786,94931.02767306742
2024,5,BOL,1139990.9315341625,1124563.5964681325
2024,5,BRA,8055214.301514099,7879606.995798799
2024,5,CAN,16619175.483020458,15865991.94709328
2024,5,CHE,4268637.628162097,4171839.547291388
2024,5,CHN,38341895.45091316,37008777.47149787
2024,5,CIV,47535.34057617634,45986.79568109054
2024,5,COD,1428079.8169644382,1410506.682856453
2024,5,COG,46841.54231279968,45614.26030338359
2024,5,COL,844019.5396606909,828713.967476731
2024,5,CUB,109662.51041759294,105973.2461893118
2024,5,CZE,120765.5903104893,116571.27015826471
2024,5,DEU,2496229.934945445,2420068.22056636
2024,5,DNK,568710.4780404628,542070.4451113297
2024,5,DOM,158127.03508966597,155537.1365657047
2024,5,DZA,108512.18589276516,105178.43328148437
2024,5,ECU,86639.65171333986,86732.52765691643
2024,5,EGY,2442727.58033064,2332891.5081721363
2024,5,ESP,403730.42566057865,394238.66622337257
2024,5,EST,130962.36871318171,124717.69119816588
2024,5,ETH,1030906.6854690677,1010103.5348193494
2024,5,FIN,1800283.9955548574,1688400.4608026235
2024,5,FRA,1612565.040450033,1569202.233701437
2024,5,GBR,755505.5998745187,731592.3648510501
2024,5,GEO,42183.04422846074,41614.58370340208
2024,5,GHA,53479.45859286444,51808.16188835585
2024,5,GRC,216548.6598721466,212626.413895433
2024,5,GTM,623586.8432508479,601728.4697576201
2024,5,HKG,28422.801839455948,28183.890335077354
2024,5,HND,3900.3192027564646,3764.787926738883
2024,5,HRV,36122.30697508652,34605.80533607974
2024,5,HTI,53629.44240306568,52385.849717961246
2024,5,HUN,729199.2429073091,695851.0827455984
2024,5,IDN,1174253.3833973932,1156295.0673572652
2024,5,IND,12678455.468384156,12093987.424689924
2024,5,IRL,596182.2431453363,579422.6184669635
2024,5,IRN,1007818.3685811496,981228.9621773676
2024,5,IRQ,2758935.828857556,2621831.76622856
2024,5,ISR,765422.3589638642,749575.8998793983
2024,5,ITA,3557269.5161965094,3503906.413387144
2024,5,JOR,1282882.481250541,1254863.7858553126
2024,5,JPN,2653936.415581786,2572304.66336445
2024,5,KAZ,14489.29808685793,14286.727117899643
2024,5,KEN,1308856.246211902,1280050.9651039252
